0	0	0	0	0	0
-15196	-4320	5648	419	730	-1629
-15416	-5260	3664	-1185	-1451	-3447
-15364	-5196	4412	-773	-1588	-2088
-14236	-5220	5648	-376	-390	-1747
-14472	-2924	4752	-498	2871	645
-17212	-4972	5768	3162	5127	3471
-12444	-6116	3220	12050	12407	8519
-17972	-1200	3284	7655	4920	-530
-17100	-1428	2836	-1645	-3862	2149
-13296	-4756	2680	-2878	-3497	1257
-13680	-5464	2988	554	884	1709
-15380	-3488	2588	859	1069	1730
-15216	-3396	2772	-1014	-491	1505
-14668	-4372	2672	-1128	-173	1417
-14912	-4260	2780	-45	457	1333
-15080	-4500	2880	-803	50	735
-14772	-5276	2812	-264	61	229
-14736	-4892	3316	1526	820	-317
-15128	-4264	3396	1089	713	-597
-14716	-4676	3260	15	-193	-770
-14400	-5664	3412	457	-291	-1254
-14468	-6036	3944	1652	-20	-1916
-14736	-5132	3960	1729	250	-2565
-15124	-5436	4100	8	-499	-3282
-14912	-6820	4340	-106	-1589	-4191
-14280	-6796	4288	-8	-1365	-5242
-14680	-7000	4376	-826	-1615	-6361
-15008	-7712	4656	-1519	-2611	-7441
-14624	-7592	4764	-2455	-3167	-8521
-14544	-8544	4836	-3503	-3582	-9707
-14224	-8564	4456	-3866	-3798	-10558
-14508	-9556	4428	-5603	-4114	-12042
-14208	-10300	4624	-5639	-4564	-13013
-13760	-10660	4464	-6295	-4697	-14081
-12952	-11092	4328	-6819	-4563	-14996
-12604	-11956	4368	-7033	-4033	-15728
-12236	-12772	3936	-7231	-3880	-16420
-11472	-13616	3560	-8288	-3491	-16756
-10720	-13724	3884	-8556	-3010	-17135
-10056	-14276	3348	-9397	-2543	-17356
-9112	-14704	2720	-10289	-2400	-17405
-7820	-15004	1732	-11917	-2006	-17464
-6964	-15824	1628	-12274	-1374	-17409
-6248	-15728	1120	-12364	-679	-17361
-5132	-15804	-164	-13027	-418	-17169
-3864	-16196	-488	-12965	528	-16672
-2988	-17068	-1452	-11538	1764	-16487
-2304	-16216	-1252	-10240	2573	-16321
-1352	-16248	-2436	-9517	2867	-16062
-188	-15968	-2140	-8678	3382	-15669
772	-15272	-3552	-7791	3802	-15234
1544	-15104	-3308	-8043	4647	-14513
2048	-15192	-3612	-7500	4756	-13998
2828	-15004	-4416	-7135	4491	-13402
3888	-14696	-4180	-6600	4892	-12978
4688	-14392	-4136	-5827	5020	-12543
5464	-13600	-4372	-5522	5194	-12122
6164	-13616	-5332	-5530	4907	-11619
7184	-12920	-4256	-5555	5264	-11098
7940	-12848	-5044	-5132	5059	-10760
8508	-12012	-4900	-4245	5130	-10235
9120	-11680	-5024	-4152	5020	-9687
9624	-11252	-5096	-3970	4898	-9062
10084	-11304	-5452	-3506	4770	-8628
10604	-10368	-4692	-2627	4681	-8265
10920	-9976	-5052	-2407	4399	-7877
11432	-9792	-4592	-2242	4322	-7323
11916	-9564	-5036	-2055	3916	-6838
12472	-9020	-4444	-2044	3925	-6325
12624	-8808	-4640	-1783	3512	-5741
12864	-8252	-4020	-1148	3170	-5227
13224	-7372	-3308	-659	2675	-4405
13456	-6944	-2792	21	2032	-3687
13384	-6388	-3144	538	1097	-2561
13560	-5656	-1740	1472	343	-1039
13016	-5516	-2600	1666	-848	701
12840	-6416	-2392	1934	-1666	2484
12340	-6940	-2096	2691	-2719	4017
12392	-6252	-2160	4068	-4376	5709
12012	-6716	-2800	5126	-4482	7932
10860	-7696	-2832	7053	-4615	9638
10244	-7404	-2508	7777	-5548	11669
9788	-9732	-2860	8430	-6110	13407
9172	-11240	-3144	12756	-6084	14443
8324	-9748	-3920	12325	-5169	16272
7528	-11044	-1896	10008	-4470	17758
6316	-13736	-2440	11659	-4119	18584
5316	-11812	-3108	10324	-3458	20149
