0	0	0	0	0	0
-14552	-5028	6008	-684	-936	-1065
-14380	-5176	3576	-1018	-729	-1186
-13704	-5724	4168	-846	351	-1911
-14668	-5784	3940	-895	714	-1190
-14040	-6560	4692	-852	1711	-824
-15252	-5100	4960	-141	2062	-480
-18020	-3396	3124	2381	-2730	-1301
-12872	-5892	5280	-1702	-4978	3229
-13128	-5296	4544	1358	56	561
-15844	-4372	4636	239	-1207	1229
-13904	-4804	4312	-36	-1668	1110
-14764	-4704	3812	-970	-1337	709
-14348	-4664	3712	-1641	-1665	225
-14424	-5032	3904	-1846	-961	-148
-14468	-4864	3800	-2479	-826	-113
-14360	-5116	3592	-2619	-774	-134
-14260	-4936	3560	-3138	-652	53
-14256	-5332	3864	-2097	-549	306
-13960	-4820	3968	-1981	-394	803
-13764	-5256	3872	-1991	-342	1014
-13716	-5272	4032	-1221	-432	989
-13956	-4992	3952	-1289	-317	935
-14392	-5344	4248	-1624	-257	964
-14260	-5496	4120	-1522	-297	953
-14372	-5268	4144	-1663	-176	907
-14108	-5616	4484	-1426	-104	785
-14080	-5824	4188	-1915	275	855
-14172	-5956	4276	-1387	241	653
-14296	-6088	4500	-1116	318	476
-14220	-5716	4192	-1226	61	146
-14076	-6356	4428	-1269	-236	-30
-13948	-6100	4832	-924	-108	-367
-14000	-5796	4640	-1584	-52	-374
-13824	-5904	4948	-2056	27	-104
-13976	-6024	4932	-2132	206	161
-13800	-5724	4836	-2063	-83	386
-13736	-5184	4644	-2228	-78	504
-14188	-5592	4936	-2316	-298	782
-14328	-5156	5040	-1430	-440	885
-14584	-5496	5088	-1420	-966	946
-14256	-6176	6460	1229	-1378	212
-14652	-2244	7244	-4148	-2485	-339
-14008	-7748	7212	-8319	-4312	518
-12944	-8732	8308	-3508	-3963	-501
-14468	-5296	11764	-3922	-3761	-1165
-14988	-6072	11708	-8023	-6050	-882
-13740	-11704	13212	-5278	-7481	-1527
-14284	-10024	17204	2064	-7743	-3884
-16216	-8468	16900	-1537	-10250	-4811
-15676	-14980	17480	627	-12620	-6363
-16668	-11892	18632	4888	-14372	-8517
-17516	-12540	16172	437	-17688	-8885
-16784	-14912	16472	1763	-19816	-10039
-17516	-12024	16296	632	-20523	-10494
-17936	-14288	14852	-1609	-22723	-10886
-17656	-14300	15128	728	-22848	-12427
-17736	-12280	12168	-334	-24488	-13167
-15600	-12996	12200	223	-24908	-14138
-14124	-9740	10708	-844	-24226	-14451
-11844	-10084	8752	-2019	-23302	-14210
-10184	-6952	6704	-2049	-22858	-13607
-6692	-8124	7720	-3427	-21666	-12067
-3828	-6712	6208	-2194	-19245	-10946
-2468	-7204	6328	-2441	-16622	-9645
-1716	-6912	7084	1211	-14670	-8286
1188	-4676	6716	1374	-14781	-6731
3572	-4884	4684	2224	-12173	-5609
3328	-4352	5092	4785	-9243	-4581
4152	-3572	5988	3299	-9262	-3253
5040	-4024	6024	1035	-7204	-2030
6096	-3692	5228	239	-5931	-1542
7280	-5020	5428	210	-4464	-1039
8164	-4908	6896	76	-2301	-301
7336	-5816	7364	-761	-936	173
7976	-6904	7692	135	-1063	579
8784	-7128	9056	902	173	953
8944	-7568	10664	-536	1075	1111
8888	-8376	10632	391	2425	1206
8140	-8828	11356	-223	2086	1018
8348	-9728	12204	-135	1617	597
8320	-9432	13432	-154	1813	630
8576	-9248	12796	-1161	1397	672
8392	-10108	12876	-425	1313	822
8564	-8896	13196	487	939	990
8216	-9432	12428	-297	922	1170
7656	-9100	11340	896	788	1287
7596	-8436	11080	589	603	1281
7576	-7728	9964	66	1862	1175
6832	-8332	9268	-1109	2333	938
6160	-8260	9204	117	3547	429
6780	-7520	9908	-976	3949	324
6644	-8248	9772	-670	6031	626
4684	-7984	9148	-505	6006	1128
5840	-8004	10512	282	6020	1397
5384	-7036	10784	87	7902	1707
3704	-7512	10476	-894	8062	2012
4592	-7888	12080	1146	8342	2100
2684	-6428	10908	952	10885	2300
984	-8248	13348	-1840	8653	2730
3700	-9416	13920	1637	9297	3129
-268	-6724	9856	-1100	12447	3635
-844	-10572	15524	-1588	9095	3867
